"Length"	"GC"
"WBGene00000001"	1816	0.400881057268722
"WBGene00000002"	1931	0.377524598653547
"WBGene00000003"	1738	0.394706559263521
"WBGene00000004"	1841	0.428571428571429
"WBGene00000005"	1813	0.387755102040816
"WBGene00000006"	1895	0.454353562005277
"WBGene00000007"	1763	0.388542257515598
"WBGene00000008"	1503	0.410512308715902
"WBGene00000009"	1464	0.430327868852459
"WBGene00000010"	2080	0.416826923076923
"WBGene00000012"	258	0.449612403100775
"WBGene00000013"	358	0.405027932960894
"WBGene00000014"	270	0.407407407407407
"WBGene00000015"	381	0.430446194225722
"WBGene00000016"	606	0.412541254125413
"WBGene00000017"	702	0.371794871794872
"WBGene00000018"	4299	0.424749941846941
"WBGene00000019"	4761	0.373660995589162
"WBGene00000020"	6670	0.458170914542729
"WBGene00000021"	4538	0.398413397972675
"WBGene00000022"	5546	0.467003245582402
"WBGene00000023"	4805	0.401040582726327
"WBGene00000024"	1405	0.466903914590747
"WBGene00000025"	1719	0.475276323443863
"WBGene00000026"	981	0.46177370030581
"WBGene00000027"	1060	0.480188679245283
"WBGene00000028"	1008	0.468253968253968
"WBGene00000029"	1174	0.505962521294719
"WBGene00000030"	1317	0.511009870918755
"WBGene00000031"	1617	0.481756338899196
"WBGene00000032"	1212	0.464521452145215
"WBGene00000033"	1271	0.519276160503541
"WBGene00000034"	1273	0.508248232521603
"WBGene00000035"	2532	0.398894154818325
"WBGene00000036"	2208	0.444746376811594
"WBGene00000037"	2202	0.425068119891008
"WBGene00000038"	1930	0.462694300518135
"WBGene00000039"	3109	0.443550981022837
"WBGene00000040"	3072	0.4375
"WBGene00000041"	2764	0.441751085383502
"WBGene00000042"	1957	0.4256515074093
"WBGene00000043"	1659	0.374924653405666
"WBGene00000044"	1800	0.388333333333333
"WBGene00000045"	1666	0.390756302521008
"WBGene00000046"	1692	0.352836879432624
"WBGene00000047"	1770	0.372881355932203
"WBGene00000048"	1909	0.415924567836564
"WBGene00000049"	1680	0.393452380952381
"WBGene00000050"	1386	0.37950937950938
"WBGene00000051"	2015	0.404962779156328
"WBGene00000053"	1595	0.34858934169279
"WBGene00000054"	1506	0.390438247011952
"WBGene00000055"	1822	0.378155872667398
"WBGene00000056"	2335	0.404710920770878
"WBGene00000057"	1617	0.413110698824985
"WBGene00000058"	1928	0.369294605809129
"WBGene00000059"	1841	0.434003259098316
"WBGene00000060"	1908	0.394654088050314
"WBGene00000061"	1435	0.370034843205575
"WBGene00000062"	1692	0.421394799054374
"WBGene00000063"	1461	0.490759753593429
"WBGene00000064"	1349	0.47887323943662
"WBGene00000065"	1558	0.478818998716303
"WBGene00000066"	1802	0.497225305216426
"WBGene00000067"	1344	0.493303571428571
"WBGene00000068"	4203	0.398286937901499
"WBGene00000069"	3343	0.40472629374813
"WBGene00000070"	4149	0.418655097613883
"WBGene00000071"	3265	0.376110260336907
"WBGene00000072"	2625	0.41752380952381
"WBGene00000073"	2075	0.380722891566265
"WBGene00000074"	3243	0.444033302497687
"WBGene00000075"	2340	0.415811965811966
"WBGene00000079"	3520	0.416477272727273
"WBGene00000080"	1697	0.392457277548615
"WBGene00000081"	1882	0.480340063761955
"WBGene00000082"	4802	0.454394002498959
"WBGene00000083"	3952	0.436740890688259
"WBGene00000084"	3286	0.341752891052952
"WBGene00000085"	1220	0.387704918032787
"WBGene00000086"	4822	0.423890501866445
"WBGene00000088"	1796	0.437639198218263
"WBGene00000089"	961	0.395421436004162
"WBGene00000090"	3978	0.424585218702866
"WBGene00000092"	2427	0.429748660898228
"WBGene00000093"	732	0.426229508196721
"WBGene00000094"	1069	0.368568755846586
"WBGene00000095"	1606	0.387920298879203
"WBGene00000096"	1841	0.404128191200435
"WBGene00000097"	1059	0.380547686496695
"WBGene00000098"	1421	0.399014778325123
"WBGene00000099"	1121	0.419268510258698
"WBGene00000100"	7952	0.44001509054326
"WBGene00000101"	4317	0.396803335649757
"WBGene00000102"	2429	0.39193083573487
"WBGene00000103"	2381	0.387652246955061
"WBGene00000105"	5001	0.447110577884423
"WBGene00000106"	3294	0.508803885853066
"WBGene00000107"	1848	0.423701298701299
"WBGene00000108"	1641	0.425959780621572
"WBGene00000109"	2864	0.407472067039106
"WBGene00000110"	2276	0.412565905096661
"WBGene00000111"	1388	0.436599423631124
"WBGene00000112"	2017	0.477937530986614
"WBGene00000113"	1800	0.513333333333333
"WBGene00000114"	1952	0.495901639344262
"WBGene00000115"	1973	0.432843385707045
"WBGene00000116"	1654	0.411729141475212
"WBGene00000117"	2213	0.446904654315409
"WBGene00000118"	1727	0.401273885350318
"WBGene00000120"	774	0.42764857881137
"WBGene00000121"	786	0.43765903307888
"WBGene00000122"	1506	0.426294820717131
"WBGene00000123"	6074	0.48831083305894
"WBGene00000133"	1728	0.438078703703704
"WBGene00000134"	1569	0.430210325047801
"WBGene00000135"	2360	0.398305084745763
"WBGene00000136"	1883	0.434944237918216
"WBGene00000137"	2642	0.395912187736563
"WBGene00000138"	2369	0.441114394259181
"WBGene00000139"	1483	0.349291975724882
"WBGene00000140"	25882	0.459392628081292
"WBGene00000142"	1242	0.387278582930757
"WBGene00000143"	2371	0.387600168705188
"WBGene00000144"	788	0.41497461928934
"WBGene00000145"	565	0.375221238938053
"WBGene00000146"	2744	0.424198250728863
"WBGene00000147"	1101	0.380563124432334
"WBGene00000148"	2378	0.36753574432296
"WBGene00000149"	2741	0.449835826340752
"WBGene00000150"	1602	0.383270911360799
"WBGene00000151"	1279	0.390148553557467
"WBGene00000155"	2097	0.44206008583691
"WBGene00000156"	3915	0.409961685823755
"WBGene00000157"	573	0.410122164048866
"WBGene00000158"	3028	0.436922060766182
"WBGene00000159"	615	0.396747967479675
"WBGene00000160"	3151	0.433513170422088
"WBGene00000161"	3415	0.410541727672035
"WBGene00000162"	4129	0.445870670864616
"WBGene00000163"	2942	0.407885791978246
"WBGene00000164"	1549	0.394448030987734
"WBGene00000165"	1470	0.398639455782313
"WBGene00000166"	2154	0.403435468895079
"WBGene00000168"	2771	0.454709491158427
"WBGene00000169"	1090	0.406422018348624
"WBGene00000170"	1240	0.462903225806452
"WBGene00000171"	1323	0.415721844293273
"WBGene00000172"	1076	0.409851301115242
"WBGene00000173"	1050	0.379047619047619
"WBGene00000174"	1115	0.382959641255605
"WBGene00000175"	1177	0.434154630416313
"WBGene00000176"	1326	0.447209653092006
"WBGene00000177"	955	0.361256544502618
"WBGene00000178"	1084	0.38929889298893
"WBGene00000179"	907	0.437706725468578
"WBGene00000180"	1710	0.416959064327485
"WBGene00000181"	919	0.437431991294886
"WBGene00000182"	1332	0.40990990990991
"WBGene00000183"	1007	0.433962264150943
"WBGene00000184"	809	0.395550061804697
"WBGene00000185"	1147	0.49433304272014
"WBGene00000186"	3578	0.421464505310229
"WBGene00000187"	1031	0.360814742967992
"WBGene00000188"	1586	0.407313997477932
"WBGene00000189"	706	0.378186968838527
"WBGene00000190"	728	0.410714285714286
"WBGene00000191"	525	0.428571428571429
"WBGene00000192"	986	0.40973630831643
"WBGene00000193"	573	0.427574171029668
"WBGene00000195"	1530	0.447712418300654
"WBGene00000196"	2605	0.403454894433781
"WBGene00000197"	3472	0.46831797235023
"WBGene00000198"	1136	0.429577464788732
"WBGene00000199"	1601	0.430980637101811
"WBGene00000200"	1526	0.40694626474443
"WBGene00000201"	1401	0.447537473233405
"WBGene00000202"	890	0.407865168539326
"WBGene00000203"	693	0.443001443001443
"WBGene00000204"	756	0.41005291005291
"WBGene00000205"	640	0.453125
"WBGene00000206"	1149	0.424717145343777
"WBGene00000207"	1204	0.465946843853821
"WBGene00000208"	1339	0.48319641523525
"WBGene00000209"	476	0.46218487394958
"WBGene00000210"	505	0.437623762376238
"WBGene00000211"	1869	0.365971107544141
"WBGene00000212"	1933	0.403000517330574
"WBGene00000213"	1912	0.443514644351464
"WBGene00000214"	1365	0.535531135531136
"WBGene00000215"	1381	0.432295438088342
"WBGene00000216"	1468	0.464577656675749
"WBGene00000217"	1468	0.43732970027248
"WBGene00000218"	1252	0.481629392971246
"WBGene00000219"	1275	0.469019607843137
"WBGene00000220"	1407	0.430703624733475
"WBGene00000221"	1073	0.40354147250699
"WBGene00000222"	2402	0.39841798501249
"WBGene00000223"	2589	0.409810737736578
"WBGene00000224"	2009	0.451966152314584
"WBGene00000225"	2556	0.453442879499218
"WBGene00000226"	7785	0.375850995504175
